username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Joseph Leery,23263337,Hong Kong,2023-01-17 23:00:16,@BumperGraham @GHpodcast @officialAL20 @wearebrighton @OfficialBHAFC Lallana appears to be a football intellectual.… https://t.co/Er6zqC55qW,1,Twitter for iPhone,
James Butterfield,4255599798,Hong Kong,2023-01-17 18:16:57,@StrengthDebates Was thinking of many examples of progress in football s&amp;c before I realised you were talking about… https://t.co/ExfOPex9vn,0,Twitter for iPhone,
Mo,2573368783,Hong Kong,2023-01-17 17:12:47,"@sarabjork18 @PlayersTribune @FIFPRO Sara, I am totally stunned with your treatment from Lyon and think that its st… https://t.co/trMcNWwqWf",0,Twitter for iPhone,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-17 16:29:02,@zanyarr_04 @brfootball It was fun while it lasted Napoli. Thanks for some great football. No hope left now.,0,Twitter for Android,
Andrew W. Pearson,20565176,Macau,2023-01-17 14:18:49,@Stickwiththetr1 @Minarzouki At least it came home once. England's got more World Cups than 200+ countries combined… https://t.co/AJj19gLWWd,0,Twitter Web App,
South China Morning Post,23922797,Hong Kong,2023-01-17 14:11:55,Hong Kong Jockey Club to pump nearly HK$2 million into Sapling Cup in new 3-year deal https://t.co/DfexpuWcYC,0,Echobox,
ActivistBowen: #PFIZER X 4,313536147,Hong Kong,2023-01-17 10:09:55,",...kind of like the #SUPERBOWL in #BRITAIN (January 17, 2023; 17:38 HKT) #FOOTBALL #FACUP",0,Twitter Web App,
gordonlee99,2407312226,Hong Kong,2023-01-17 08:18:41,@gxnvdy @TrollFootball You know a football match is 90 mins length right😂 mitoma basically bullied Trent for whole… https://t.co/8PqWG4fUMa,0,Twitter for iPhone,
jeff kehoe,27170681,Hong Kong,2023-01-17 08:18:24,"@maxrushden @jonawils @BeardedGenius @Towno10 
Super Pod; Superb Variety of Topics👏Thank You🙏
Wilson's Encyclopedic… https://t.co/ziNEviSYW1",0,Twitter Web App,
@Harrow Horizons Hong Kong,1202140991257341953,Hong Kong,2023-01-17 08:18:11,"Right now we have Senior Football ⚽️ on the Astro, Induction to Cooking 🍳 in the Dining Room and Behind the Scenes… https://t.co/TTwnrqZ9JE",2,Twitter for iPhone,
